Metric,n,Mean,Std Dev,Std Error,t-critical,Margin of Error,Lower Bound (95% CI),Upper Bound (95% CI),CI Width
Wq (Avg Wait Time),30,3.9119228580377867,1.6543184387048147,0.30203584205845146,2.045229642132704,0.6177326571644566,3.29419020087333,4.5296555152022435,1.2354653143289136
W (Avg System Time),30,4.7538720658998725,1.6772219384249205,0.30621742987262324,2.045229642132704,0.6262849645131816,4.127587101386691,5.380157030413054,1.2525699290263628
Lq (Avg Queue Length),30,3.9119228580377867,1.6543184387048147,0.30203584205845146,2.045229642132704,0.6177326571644566,3.29419020087333,4.5296555152022435,1.2354653143289136
L (Avg System Length),30,4.7538720658998725,1.6772219384249205,0.30621742987262324,2.045229642132704,0.6262849645131816,4.127587101386691,5.380157030413054,1.2525699290263628
