Metric,Theoretical,Observed Mean,Abs Deviation,Pct Deviation,CI Lower,CI Upper,Theoretical in CI,t-statistic,p-value,Significant Diff
Wq,4.166666666666668,3.9119228580377867,-0.25474380862888113,-6.113851407093145,3.29419020087333,4.529655515202244,True,-0.8434224458022496,0.4058955948347012,False
W,5.000000000000001,4.7538720658998725,-0.24612793410012834,-4.922558682002566,4.127587101386691,5.380157030413054,True,-0.8037685320607313,0.42807029639733535,False
Lq,4.166666666666668,3.9119228580377867,-0.25474380862888113,-6.113851407093145,3.29419020087333,4.529655515202244,True,-0.8434224458022496,0.4058955948347012,False
L,5.000000000000002,4.7538720658998725,-0.24612793410012923,-4.922558682002583,4.127587101386691,5.380157030413054,True,-0.8037685320607342,0.4280702963973338,False
