customer_id,event,time
0,arrive,2.4053848670829003
0,start,2.4053848670829003
1,arrive,2.7536368705881444
2,arrive,2.9002346412151456
0,depart,2.918000131226816
1,start,2.918000131226816
1,depart,3.0579979929653742
2,start,3.0579979929653742
2,depart,3.9918917396166123
3,arrive,8.210770418712999
3,start,8.210770418712999
4,arrive,9.122137179608321
3,depart,9.255725983933546
4,start,9.255725983933546
5,arrive,9.650661715850509
4,depart,9.654209186426913
5,start,9.654209186426913
5,depart,9.716974289935802
6,arrive,10.16131484187727
6,start,10.16131484187727
6,depart,10.430259386890215
7,arrive,10.546631629620244
7,start,10.546631629620244
7,depart,11.038554108552407
8,arrive,12.064505071683431
8,start,12.064505071683431
8,depart,12.091348086798204
9,arrive,12.165825670394721
9,start,12.165825670394721
10,arrive,12.590438127344875
11,arrive,12.616195051001451
12,arrive,13.215401188186993
13,arrive,14.681300320457519
14,arrive,14.810296693606901
9,depart,15.65004789666419
10,start,15.65004789666419
15,arrive,16.437057880311972
10,depart,17.444428881369625
11,start,17.444428881369625
11,depart,17.564155427570928
12,start,17.564155427570928
16,arrive,18.188243219865218
17,arrive,18.44822539796758
12,depart,19.792239514899087
13,start,19.792239514899087
18,arrive,20.056322385630892
19,arrive,20.79680413042815
13,depart,21.120738371476
14,start,21.120738371476
20,arrive,22.19094127976288
14,depart,22.354652484990943
15,start,22.354652484990943
15,depart,22.663238832171835
16,start,22.663238832171835
21,arrive,23.805758849790347
22,arrive,24.778386924017507
23,arrive,25.219501067060143
24,arrive,25.349360921931723
16,depart,25.40728984250595
17,start,25.40728984250595
25,arrive,27.179786912061346
17,depart,28.907843947655493
18,start,28.907843947655493
26,arrive,29.23705916144325
18,depart,29.80414540283119
19,start,29.80414540283119
19,depart,30.22184639586708
20,start,30.22184639586708
20,depart,30.35795495421201
21,start,30.35795495421201
27,arrive,30.541725935776526
28,arrive,32.02449875425451
21,depart,32.54359609493208
22,start,32.54359609493208
29,arrive,32.81449594531278
30,arrive,32.97933862594545
31,arrive,33.085541328939875
32,arrive,33.40366720481359
22,depart,34.26382502838004
23,start,34.26382502838004
23,depart,34.6322571829518
24,start,34.6322571829518
24,depart,34.712197786842474
25,start,34.712197786842474
25,depart,34.87970454941927
26,start,34.87970454941927
26,depart,34.983059680345136
27,start,34.983059680345136
33,arrive,35.691068135459176
27,depart,36.87987289435968
28,start,36.87987289435968
28,depart,36.92966325199777
29,start,36.92966325199777
29,depart,37.84626996330007
30,start,37.84626996330007
30,depart,38.05047647650804
31,start,38.05047647650804
34,arrive,39.33764300330183
35,arrive,39.63775634880932
31,depart,39.650746607431614
32,start,39.650746607431614
32,depart,39.69672675093314
33,start,39.69672675093314
33,depart,40.40511477682847
34,start,40.40511477682847
34,depart,40.867660444022604
35,start,40.867660444022604
35,depart,40.981312203057186
36,arrive,41.021892986819964
36,start,41.021892986819964
36,depart,41.54614449706107
37,arrive,43.569230755893074
37,start,43.569230755893074
37,depart,43.74328836874989
38,arrive,44.91573784321868
38,start,44.91573784321868
39,arrive,45.297303747513766
40,arrive,46.03050821271864
38,depart,46.685375622763
39,start,46.685375622763
39,depart,47.64388383299433
40,start,47.64388383299433
41,arrive,49.42592841330813
42,arrive,49.85131687853532
43,arrive,50.5840570568629
40,depart,51.016433658222184
41,start,51.016433658222184
41,depart,51.057470277168555
42,start,51.057470277168555
42,depart,51.70657945827312
43,start,51.70657945827312
43,depart,51.72103885793522
44,arrive,52.94935926992137
44,start,52.94935926992137
45,arrive,53.220456022635645
44,depart,53.40594634914435
45,start,53.40594634914435
45,depart,53.46935627216741
46,arrive,53.50716265887509
46,start,53.50716265887509
47,arrive,53.588617571275265
46,depart,54.42673589040068
47,start,54.42673589040068
47,depart,55.1955302621364
48,arrive,55.6264196200961
48,start,55.6264196200961
49,arrive,56.03918462703746
50,arrive,56.06941017436051
48,depart,56.71738570232202
49,start,56.71738570232202
49,depart,57.41269174473638
50,start,57.41269174473638
51,arrive,57.54745628109307
50,depart,58.0004110881874
51,start,58.0004110881874
51,depart,58.11641195317023
52,arrive,58.45181673927345
52,start,58.45181673927345
53,arrive,59.08928902045327
52,depart,59.093836592537066
53,start,59.093836592537066
54,arrive,59.68522530841913
53,depart,59.69684830663479
54,start,59.69684830663479
55,arrive,60.16422212940557
54,depart,60.477176796322894
55,start,60.477176796322894
56,arrive,60.60621575364323
57,arrive,60.90387453367301
58,arrive,62.41202821197161
55,depart,62.85326973055742
56,start,62.85326973055742
59,arrive,63.20121976219509
56,depart,64.58634838833218
57,start,64.58634838833218
60,arrive,64.68691571076228
57,depart,65.11108085665334
58,start,65.11108085665334
58,depart,66.55617174389003
59,start,66.55617174389003
59,depart,66.70138942449887
60,start,66.70138942449887
60,depart,67.00904303097414
61,arrive,70.02247252981984
61,start,70.02247252981984
62,arrive,70.30183671719217
61,depart,70.53098886236059
62,start,70.53098886236059
63,arrive,71.04502963454779
62,depart,71.11352721743677
63,start,71.11352721743677
63,depart,71.4917983399281
64,arrive,73.29623564592278
64,start,73.29623564592278
64,depart,73.7818577608499
65,arrive,75.21742633279696
65,start,75.21742633279696
65,depart,75.34023057574113
66,arrive,76.35835827044087
66,start,76.35835827044087
66,depart,76.58583297063907
67,arrive,77.73496738920456
67,start,77.73496738920456
67,depart,78.07551074060049
68,arrive,78.97320906936478
68,start,78.97320906936478
68,depart,80.203055764478
69,arrive,80.55432184339742
69,start,80.55432184339742
70,arrive,80.64083310689414
71,arrive,81.51442736423846
72,arrive,81.67593215889002
69,depart,81.8734654036512
70,start,81.8734654036512
70,depart,82.39659870318735
71,start,82.39659870318735
73,arrive,82.94211342999866
74,arrive,83.92997640866976
75,arrive,84.13612355314308
76,arrive,85.08072047179475
77,arrive,85.17071037977747
78,arrive,85.39246831495899
79,arrive,85.5010961164396
80,arrive,85.56973849402091
71,depart,86.04699000692526
72,start,86.04699000692526
81,arrive,86.24504151285471
82,arrive,86.86618324088406
83,arrive,87.18522730786374
84,arrive,87.20966496331522
85,arrive,87.78468111003438
86,arrive,88.22666658614618
87,arrive,88.33739126582378
72,depart,89.39604049671254
73,start,89.39604049671254
88,arrive,89.91176079526082
89,arrive,89.94503398419933
73,depart,90.42665216292497
74,start,90.42665216292497
90,arrive,90.8001010528288
74,depart,90.97125125434553
75,start,90.97125125434553
75,depart,91.11726859900257
76,start,91.11726859900257
76,depart,91.26118334855637
77,start,91.26118334855637
77,depart,92.74748499211152
78,start,92.74748499211152
91,arrive,92.8187458146984
78,depart,92.9760286327657
79,start,92.9760286327657
79,depart,93.0948381096959
80,start,93.0948381096959
80,depart,93.3112247731055
81,start,93.3112247731055
92,arrive,93.36555310806922
93,arrive,93.50429522470428
81,depart,94.86142224412471
82,start,94.86142224412471
94,arrive,95.01526255915833
82,depart,95.04948989561248
83,start,95.04948989561248
83,depart,95.91776344563625
84,start,95.91776344563625
95,arrive,96.25428393382863
84,depart,97.2839170097858
85,start,97.2839170097858
96,arrive,97.79336834457983
